region,event,date
Shandong,Sowing,2025-06-07
Shandong,Sowing,2025-06-08
Shandong,Sowing,2025-06-08
Hebei,Sowing,2025-06-09
Shandong,Sowing,2025-06-09
Hebei,Sowing,2025-06-10
Shandong,Sowing,2025-06-10
Shandong,Sowing,2025-06-10
Shandong,Sowing,2025-06-10
Hebei,Sowing,2025-06-11
Shandong,Sowing,2025-06-11
Shandong,Sowing,2025-06-11
Shandong,Sowing,2025-06-11
Shandong,Sowing,2025-06-11
Hebei,Sowing,2025-06-12
Hebei,Sowing,2025-06-12
Shandong,Sowing,2025-06-12
Shandong,Sowing,2025-06-12
Shandong,Sowing,2025-06-12
Hebei,Sowing,2025-06-13
Shandong,Sowing,2025-06-13
Hebei,Sowing,2025-06-14
Hebei,Sowing,2025-06-15
Hebei,Sowing,2025-06-15
Hebei,Sowing,2025-06-15
Hebei,Sowing,2025-06-15
Hebei,Sowing,2025-06-15
Hebei,Sowing,2025-06-15
Shandong,Sowing,2025-06-15
Shandong,Sowing,2025-06-15
Shandong,Sowing,2025-06-15
Shandong,Sowing,2025-06-15
Shandong,Sowing,2025-06-15
Shandong,Sowing,2025-06-15
Shandong,Sowing,2025-06-15
Hebei,Sowing,2025-06-16
Shandong,Sowing,2025-06-16
Shandong,Sowing,2025-06-16
Shandong,Sowing,2025-06-16
Hebei,Sowing,2025-06-17
Shandong,Sowing,2025-06-17
Shandong,Sowing,2025-06-17
Shandong,Sowing,2025-06-17
Hebei,Sowing,2025-06-18
Hebei,Sowing,2025-06-18
Hebei,Sowing,2025-06-18
Hebei,Sowing,2025-06-18
Hebei,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Shandong,Sowing,2025-06-18
Hebei,Sowing,2025-06-19
Hebei,Sowing,2025-06-19
Hebei,Sowing,2025-06-20
Shandong,Sowing,2025-06-20
Shandong,Sowing,2025-06-20
Shandong,Sowing,2025-06-20
Shandong,Sowing,2025-06-20
Shandong,Sowing,2025-06-20
Shandong,Sowing,2025-06-20
Shandong,Sowing,2025-06-20
Shandong,Sowing,2025-06-20
Hebei,Sowing,2025-06-21
Hebei,Sowing,2025-06-21
Shandong,Sowing,2025-06-21
Shandong,Sowing,2025-06-21
Hebei,Sowing,2025-06-22
Hebei,Sowing,2025-06-23
Shandong,Sowing,2025-06-23
Shandong,Sowing,2025-06-23
Shandong,Sowing,2025-06-23
Shandong,Sowing,2025-06-23
Shandong,Sowing,2025-06-23
Shandong,Sowing,2025-06-23
Hebei,Sowing,2025-06-25
Hebei,Sowing,2025-06-26
Shandong,Sowing,2025-07-04
Shandong,Sowing,2025-07-04
Hebei,Sowing,2025-07-14
Shandong,Fertilization,2025-06-07
Shandong,Fertilization,2025-06-08
Shandong,Fertilization,2025-06-08
Hebei,Fertilization,2025-06-09
Shandong,Fertilization,2025-06-09
Hebei,Fertilization,2025-06-10
Shandong,Fertilization,2025-06-10
Shandong,Fertilization,2025-06-10
Shandong,Fertilization,2025-06-10
Hebei,Fertilization,2025-06-11
Shandong,Fertilization,2025-06-11
Shandong,Fertilization,2025-06-11
Shandong,Fertilization,2025-06-11
Shandong,Fertilization,2025-06-11
Hebei,Fertilization,2025-06-12
Hebei,Fertilization,2025-06-12
Shandong,Fertilization,2025-06-12
Shandong,Fertilization,2025-06-12
Shandong,Fertilization,2025-06-12
Hebei,Fertilization,2025-06-13
Shandong,Fertilization,2025-06-13
Shandong,Fertilization,2025-06-13
Hebei,Fertilization,2025-06-14
Hebei,Fertilization,2025-06-15
Hebei,Fertilization,2025-06-15
Hebei,Fertilization,2025-06-15
Hebei,Fertilization,2025-06-15
Hebei,Fertilization,2025-06-15
Shandong,Fertilization,2025-06-15
Shandong,Fertilization,2025-06-15
Shandong,Fertilization,2025-06-15
Shandong,Fertilization,2025-06-15
Shandong,Fertilization,2025-06-15
Shandong,Fertilization,2025-06-15
Shandong,Fertilization,2025-06-15
Shandong,Fertilization,2025-06-15
Hebei,Fertilization,2025-06-16
Shandong,Fertilization,2025-06-16
Shandong,Fertilization,2025-06-16
Hebei,Fertilization,2025-06-17
Shandong,Fertilization,2025-06-17
Shandong,Fertilization,2025-06-17
Shandong,Fertilization,2025-06-17
Hebei,Fertilization,2025-06-18
Hebei,Fertilization,2025-06-18
Hebei,Fertilization,2025-06-18
Hebei,Fertilization,2025-06-18
Hebei,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Shandong,Fertilization,2025-06-18
Hebei,Fertilization,2025-06-19
Hebei,Fertilization,2025-06-19
Hebei,Fertilization,2025-06-20
Shandong,Fertilization,2025-06-20
Shandong,Fertilization,2025-06-20
Shandong,Fertilization,2025-06-20
Shandong,Fertilization,2025-06-20
Shandong,Fertilization,2025-06-20
Shandong,Fertilization,2025-06-20
Shandong,Fertilization,2025-06-20
Hebei,Fertilization,2025-06-21
Hebei,Fertilization,2025-06-21
Shandong,Fertilization,2025-06-21
Shandong,Fertilization,2025-06-21
Hebei,Fertilization,2025-06-22
Shandong,Fertilization,2025-06-23
Shandong,Fertilization,2025-06-23
Shandong,Fertilization,2025-06-23
Shandong,Fertilization,2025-06-23
Shandong,Fertilization,2025-06-23
Shandong,Fertilization,2025-06-23
Hebei,Fertilization,2025-06-25
Hebei,Fertilization,2025-06-26
Shandong,Fertilization,2025-07-04
Shandong,Fertilization,2025-07-04
Hebei,Fertilization,2025-07-14
Hebei,Fertilization,2025-07-15
Hebei,Fertilization,2025-07-23
Hebei,Fertilization,2025-07-23
Shandong,Fertilization,2025-08-03
Shandong,Fertilization,2025-08-03
Shandong,Fertilization,2025-08-03
Shandong,Fertilization,2025-08-05
Shandong,Fertilization,2025-08-05
Shandong,Fertilization,2025-08-05
Shandong,Fertilization,2025-08-05
Shandong,Fertilization,2025-08-05
Shandong,Fertilization,2025-08-08
Shandong,Fertilization,2025-08-11
Shandong,Fertilization,2025-08-11
Shandong,Fertilization,2025-08-11
Shandong,Fertilization,2025-08-11
Shandong,Fertilization,2025-08-11
Shandong,Herbicide,2025-06-12
Shandong,Herbicide,2025-06-12
Shandong,Herbicide,2025-06-24
Shandong,Herbicide,2025-06-24
Shandong,Herbicide,2025-06-24
Shandong,Herbicide,2025-06-24
Shandong,Herbicide,2025-06-24
Shandong,Herbicide,2025-06-24
Hebei,Herbicide,2025-06-27
Hebei,Herbicide,2025-06-27
Hebei,Herbicide,2025-06-28
Hebei,Herbicide,2025-06-28
Hebei,Herbicide,2025-06-28
Shandong,Herbicide,2025-06-28
Shandong,Herbicide,2025-06-28
Shandong,Herbicide,2025-06-28
Shandong,Herbicide,2025-06-28
Shandong,Herbicide,2025-06-28
Shandong,Herbicide,2025-06-28
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Hebei,Herbicide,2025-06-30
Shandong,Herbicide,2025-06-30
Shandong,Herbicide,2025-06-30
Shandong,Herbicide,2025-06-30
Shandong,Herbicide,2025-06-30
Shandong,Herbicide,2025-06-30
Shandong,Herbicide,2025-06-30
Shandong,Herbicide,2025-06-30
Shandong,Herbicide,2025-06-30
Shandong,Herbicide,2025-06-30
Shandong,Herbicide,2025-06-30
Hebei,Herbicide,2025-07-01
Hebei,Herbicide,2025-07-01
Hebei,Herbicide,2025-07-01
Hebei,Herbicide,2025-07-01
Hebei,Herbicide,2025-07-01
Shandong,Herbicide,2025-07-01
Shandong,Herbicide,2025-07-01
Shandong,Herbicide,2025-07-01
Shandong,Herbicide,2025-07-01
Shandong,Herbicide,2025-07-01
Shandong,Herbicide,2025-07-02
Shandong,Herbicide,2025-07-02
Shandong,Herbicide,2025-07-02
Shandong,Herbicide,2025-07-02
Shandong,Herbicide,2025-07-02
Shandong,Herbicide,2025-07-02
Shandong,Herbicide,2025-07-02
Shandong,Herbicide,2025-07-02
Shandong,Herbicide,2025-07-04
Shandong,Herbicide,2025-07-04
Shandong,Herbicide,2025-07-04
Shandong,Herbicide,2025-07-04
Shandong,Herbicide,2025-07-04
Shandong,Herbicide,2025-07-04
Shandong,Herbicide,2025-07-04
Hebei,Herbicide,2025-07-05
Hebei,Herbicide,2025-07-05
Hebei,Herbicide,2025-07-05
Hebei,Herbicide,2025-07-05
Hebei,Herbicide,2025-07-05
Hebei,Herbicide,2025-07-05
Hebei,Herbicide,2025-07-05
Hebei,Herbicide,2025-07-05
Hebei,Herbicide,2025-07-05
Shandong,Herbicide,2025-07-05
Shandong,Herbicide,2025-07-05
Shandong,Herbicide,2025-07-05
Hebei,Herbicide,2025-07-06
Hebei,Herbicide,2025-07-06
Shandong,Herbicide,2025-07-08
Shandong,Herbicide,2025-07-08
Shandong,Herbicide,2025-07-08
Shandong,Herbicide,2025-07-10
Shandong,Herbicide,2025-07-10
Shandong,Herbicide,2025-07-10
Hebei,Herbicide,2025-07-13
Hebei,Herbicide,2025-07-14
Hebei,Herbicide,2025-07-14
Shandong,Herbicide,2025-07-14
Shandong,Herbicide,2025-07-14
Shandong,Herbicide,2025-07-14
Shandong,Herbicide,2025-07-14
Shandong,Herbicide,2025-07-14
Hebei,Herbicide,2025-07-24
Shandong,Insecticide,2025-06-12
Shandong,Insecticide,2025-06-12
Shandong,Insecticide,2025-06-12
Shandong,Insecticide,2025-06-12
Shandong,Insecticide,2025-06-12
Shandong,Insecticide,2025-06-12
Shandong,Insecticide,2025-06-24
Shandong,Insecticide,2025-06-24
Shandong,Insecticide,2025-06-24
Shandong,Insecticide,2025-06-24
Shandong,Insecticide,2025-06-24
Shandong,Insecticide,2025-06-24
Hebei,Insecticide,2025-06-27
Hebei,Insecticide,2025-06-27
Hebei,Insecticide,2025-06-27
Hebei,Insecticide,2025-06-27
Hebei,Insecticide,2025-06-28
Hebei,Insecticide,2025-06-28
Hebei,Insecticide,2025-06-28
Hebei,Insecticide,2025-06-28
Hebei,Insecticide,2025-06-28
Shandong,Insecticide,2025-06-28
Shandong,Insecticide,2025-06-28
Shandong,Insecticide,2025-06-28
Shandong,Insecticide,2025-06-28
Shandong,Insecticide,2025-06-28
Shandong,Insecticide,2025-06-28
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Hebei,Insecticide,2025-06-30
Shandong,Insecticide,2025-06-30
Shandong,Insecticide,2025-06-30
Shandong,Insecticide,2025-06-30
Shandong,Insecticide,2025-06-30
Shandong,Insecticide,2025-06-30
Hebei,Insecticide,2025-07-01
Hebei,Insecticide,2025-07-01
Hebei,Insecticide,2025-07-01
Hebei,Insecticide,2025-07-01
Shandong,Insecticide,2025-07-01
Shandong,Insecticide,2025-07-01
Shandong,Insecticide,2025-07-01
Shandong,Insecticide,2025-07-01
Shandong,Insecticide,2025-07-01
Shandong,Insecticide,2025-07-02
Shandong,Insecticide,2025-07-02
Shandong,Insecticide,2025-07-02
Shandong,Insecticide,2025-07-02
Shandong,Insecticide,2025-07-02
Shandong,Insecticide,2025-07-02
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Shandong,Insecticide,2025-07-04
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-05
Shandong,Insecticide,2025-07-05
Shandong,Insecticide,2025-07-05
Shandong,Insecticide,2025-07-05
Shandong,Insecticide,2025-07-05
Shandong,Insecticide,2025-07-05
Shandong,Insecticide,2025-07-05
Shandong,Insecticide,2025-07-05
Shandong,Insecticide,2025-07-05
Shandong,Insecticide,2025-07-05
Hebei,Insecticide,2025-07-06
Hebei,Insecticide,2025-07-06
Hebei,Insecticide,2025-07-06
Hebei,Insecticide,2025-07-06
Hebei,Insecticide,2025-07-06
Hebei,Insecticide,2025-07-06
Hebei,Insecticide,2025-07-07
Hebei,Insecticide,2025-07-07
Hebei,Insecticide,2025-07-07
Shandong,Insecticide,2025-07-08
Shandong,Insecticide,2025-07-08
Shandong,Insecticide,2025-07-08
Shandong,Insecticide,2025-07-08
Shandong,Insecticide,2025-07-08
Shandong,Insecticide,2025-07-08
Hebei,Insecticide,2025-07-09
Hebei,Insecticide,2025-07-09
Hebei,Insecticide,2025-07-09
Hebei,Insecticide,2025-07-10
Hebei,Insecticide,2025-07-10
Hebei,Insecticide,2025-07-10
Hebei,Insecticide,2025-07-10
Hebei,Insecticide,2025-07-10
Hebei,Insecticide,2025-07-10
Hebei,Insecticide,2025-07-10
Hebei,Insecticide,2025-07-10
Hebei,Insecticide,2025-07-10
Shandong,Insecticide,2025-07-10
Shandong,Insecticide,2025-07-10
Shandong,Insecticide,2025-07-10
Hebei,Insecticide,2025-07-11
Hebei,Insecticide,2025-07-11
Hebei,Insecticide,2025-07-11
Hebei,Insecticide,2025-07-12
Hebei,Insecticide,2025-07-13
Hebei,Insecticide,2025-07-13
Hebei,Insecticide,2025-07-13
Hebei,Insecticide,2025-07-13
Hebei,Insecticide,2025-07-13
Hebei,Insecticide,2025-07-13
Hebei,Insecticide,2025-07-16
Hebei,Insecticide,2025-07-16
Hebei,Insecticide,2025-07-16
Hebei,Insecticide,2025-07-16
Hebei,Insecticide,2025-07-16
Hebei,Insecticide,2025-07-16
Hebei,Insecticide,2025-07-17
Hebei,Insecticide,2025-07-17
Hebei,Insecticide,2025-07-19
Hebei,Insecticide,2025-07-19
Hebei,Insecticide,2025-07-20
Hebei,Insecticide,2025-07-20
Hebei,Insecticide,2025-07-20
